ID,Score
1,0.0012018874986097217
2,5.504026603375678e-07
3,8.032576261030044e-06
4,0.00811601709574461
5,0.000456994806881994
6,0.16747792065143585
7,1.016810074361274e-05
8,0.00019156598136760294
9,0.0004513115272857249
10,0.001264983438886702
11,3.5665266295836773e-06
12,1.597306072653737e-05
13,2.4713319362490438e-05
14,0.0010043610818684101
15,3.902754542650655e-05
16,5.834182047692593e-06
17,0.0036617196165025234
18,0.00016882750787772238
19,5.600227837021521e-07
20,7.322424607991707e-06
21,4.645950411941158e-06
22,1.148695719166426e-05
23,4.318761784816161e-05
24,2.0705012502730824e-05
25,1.6874106222530827e-05
26,4.5701822273258585e-06
27,0.002337787766009569
28,5.136919753567781e-06
29,0.00012954272096976638
30,7.430783625750337e-06
31,7.290637768164743e-06
32,0.0006242968956939876
33,0.0020253481343388557
34,1.6564645193284377e-06
35,2.0659019355662167e-05
36,2.1066076442366466e-05
37,6.65053230477497e-05
38,0.026697900146245956
39,6.378481339197606e-05
40,2.985123046528315e-07
41,0.00041341042378917336
42,9.797917300602421e-06
43,6.64847789266787e-07
44,8.820586117508356e-06
45,8.334316589753143e-06
46,1.1479594377306057e-06
47,0.00040204948163591325
48,0.008394439704716206
49,1.0364148693042807e-05
50,0.00012450815120246261
51,2.2540098143508658e-06
52,8.45060421852395e-05
53,2.9823155273334123e-05
54,0.19858825206756592
55,2.2767239897802938e-06
56,0.0002125747560057789
57,0.02894427441060543
58,3.6262613321014214e-06
59,1.8076631022267975e-05
60,0.014827482402324677
61,2.542890570111922e-06
62,0.00014354902668856084
63,2.530475740059046e-06
64,0.022947803139686584
65,2.671181619007257e-06
66,7.379580347333103e-05
67,1.5877252735663205e-05
68,0.019634906202554703
69,1.5220321358810907e-07
70,0.0038883357774466276
71,0.00683854753151536
72,1.2564724784169812e-05
73,6.543252675328404e-05
74,9.542108455207199e-05
75,3.7320467072277097e-06
76,4.6916744622649276e-07
77,1.3370001397561282e-05
78,1.5707389593444532e-06
79,1.1344447557348758e-05
80,4.7326502681244165e-06
81,3.108480086666532e-06
82,0.00035012452281080186
83,4.501544026425108e-06
84,3.5654761632031295e-06
85,2.9876707685616566e-06
86,4.213213287584949e-06
87,2.1562260371865705e-05
88,0.0037372917868196964
89,4.339242877904326e-05
90,6.391611350409221e-06
91,6.137517630122602e-06
92,0.16623109579086304
93,0.002090133260935545
94,1.5120369880605722e-06
95,0.00010735260002547875
96,3.074244204981369e-06
97,5.831378985021729e-06
98,0.08166438341140747
99,1.0130065675184596e-06
100,4.568034000840271e-06
101,0.0004388847737573087
102,4.254420673532877e-06
103,0.02175743691623211
104,0.0017022436950355768
105,1.4496579296974232e-06
106,3.630797436926514e-06
107,4.241256101522595e-05
108,1.4365132301463746e-05
109,2.7516676709637977e-05
110,1.2258416973054409e-05
111,9.482097084401175e-05
112,3.1745621527079493e-06
113,7.285014817171032e-06
114,8.929067917051725e-06
115,4.494871245697141e-05
116,4.304158665036084e-06
117,0.007585193030536175
118,1.56431215145858e-05
119,4.7428966354345903e-07
120,5.693509024240484e-07
121,5.23975813848665e-07
122,5.379492449719692e-06
123,8.626222552265972e-06
124,1.1638947398751043e-05
125,1.6169948139577173e-05
126,5.822743332828395e-06
127,0.05771811679005623
128,2.328868049517041e-06
129,0.00019684135622810572
130,6.03481112193549e-07
131,0.01644378900527954
132,8.228580554714426e-07
133,1.1751196780096507e-06
134,7.653357897652313e-06
135,0.0007891567656770349
136,0.001934648840688169
137,5.756038717663614e-06
138,1.0479664069862338e-06
139,4.751833841964981e-07
140,9.622877769288607e-06
141,5.389177385950461e-05
142,3.655882210296113e-07
143,4.232732317177579e-05
144,0.178880974650383
145,0.0027788656298071146
146,7.570112938992679e-05
147,1.8780447419430857e-07
148,1.6491603673784994e-06
149,0.00013783780741505325
150,8.639987754577305e-06
151,0.0006144923390820622
152,0.18450714647769928
153,4.400426769279875e-05
154,3.4830959521059413e-06
155,7.035378985165153e-06
156,0.0018525023479014635
157,0.00015865152818150818
158,0.004052652977406979
159,5.717504905078385e-07
160,0.02017037943005562
161,0.00012366651208139956
162,0.0002685571671463549
163,1.0968938113364857e-05
164,0.0002556367835495621
165,2.1498080968740396e-06
166,4.3222571548540145e-06
167,3.317651817269507e-06
168,0.0034849601797759533
169,0.00016364869952667505
170,5.6563926591479685e-06
171,1.9220963167754235e-06
172,3.1543818295176607e-06
173,5.416710700956173e-05
174,7.261582481987716e-07
